Continent,Country,State,City,Name,CenterNumber,long,lat,Address,Zone,ContactPersonName,Mobile_1,Mobile_2,Landline,Email,Email_2
Asia,India,Puducherry,Puducherry,Vethapuram MVKM Trust,A.NO.5,79.8188341,11.93968,"No.18, 8th cross Street, Brindhavanam, Pondy - 605 013",Puducherry,A/N. V. Janagiraman,"9443658123,",9894189750,-,skyvethapuram@gmail.com,
Asia,India,Karnataka,Bengaluru,Bangalore Malleswaram SKY Trust,A.NO.19,77.5657443,13.00179997,"Villa-73, Phase-1, Golden Homes (Liberty Acres), Indlabele Village, Sarjapur-Attibele Road, Attibele, Bangalore - 562 107",Karnataka,Prof. Sathya Murthy.C,9342540403,9449022221,23345728,-,
Asia,India,Andhra Pradesh,Eluru ,Eluru SKY Meditation Trust,A.NO.43,81.07267037,16.70477776,"Sankaralaya St, No.2-86, Srinivasa Nagar, Satrampadu, Eluru mandal, West Godavari - 534007",Andhra Pradesh,A/N. B.Venu gopal,9441086983,-,08812 - 234372,venu_gb2001@yahoo.com,
Asia,India,Karnataka,Bengaluru,Bangalore Krishnarajapuram SKY Trust,A.NO.70,77.6869039,12.99679849,"“SRI PRASONA”, No.229/1, Nandagokula St, Akash Nagar, 3rd cross, K.R.Puram, Bangalore-560 016. ",Karnataka,Dr.T.S.Kani,9449824197,9880740840,-,-,
Asia,India,Karnataka,Bengaluru,Bangalore Vishala Karnataka SKY Trust,A.NO.109,77.7065754,12.7226843,"Temple of Consciousness, Anekal Arivina Sri Mandira, Kavalahosahalli Village, Sidihosakote Post, Opp. Alliance Bussiness School, Anekal Taluk, Bangalore 562 106.",Karnataka,Prof.K.Ravindran,9480426595,9900626477,8147827600,-,
Asia,India,Karnataka,Bengaluru,Bangalore R.T. Nagar SKY Trust,A.NO.111,77.5855752,13.0229777,"No.62/1, 1st Cross , 2nd main, Ganga Nagar, Bangalore - 560032.",Karnataka,A/N.Dr.Devadas,9738526399,-,23633463,-,
Asia,India,Andhra Pradesh,Vijayawada,Vijayawada Omkara Dhyana Mandiram SKY Trust,A.NO.112,80.6480153,16.5061743,"No.11-30-36, Seshaiah St, Prardhana Sangham Upstairs, Vijayawada - 520001.",Andhra Pradesh,A/N.Andalam Ramanath,9848125679,-,"421466, 2422609",abrahampjcst@gmail.com,
Asia,India,Kerala,Ernakulam,Jyothis SKY Trust,A.NO.123,76.30147717,10.01267996,"Mangattu House, MRRA - 25, Mangattu Road, Mamagalam, Palarivattom, Cochin, Kerala - 682 025. ",Kerala,A/N. K. R. Satheesh,9446324878,8289956114,9847032158,krsatheesh.2010@gmail.com,
Asia,India,Telangana,Hyderabad,Hyderabad SKY Trust,A.NO.181,78.55558509,17.35229353,"Flat no:103,Second floor, Madhuban Residency, R T C colony,road no-1, L B Nagar, Hyderabad, Telangana State, India. (Land Mark:First left lane ,near Abhinanda Grand opp/- Kamineni hospital)",Telangana,Prof. M. Kalpana,9177393225,9848144487,-,an.a181@vethathiri.edu.in,
Asia,India,Karnataka,Bengaluru,Bangalore Shivaji Nagar SKY Trust,A.NO.188,77.6205058,13.0017896,"No.17/2, Lazar Road, Ist Cross, Fraser Road, Bangalore North, Bangalore - 560005",Karnataka,A/N.T.B.J.Kumar,9886138376,-,-,-,
Asia,India,Maharashtra,Chembur (East),Mumbai Chembur SKY Trust,A.NO.207,72.89208066,19.05019857,"No.306, 3rd Floor, Hari Kunj Apts, Sindhi Society, Chembur, Mumbai - 400071. ",Mumbai,A/N.Hemalatha Chandrasekaran,9322277766,0-9322266633,022-32964897,srihemchand@hotmail.com,
Asia,India,Karnataka,Bengaluru,Bangalore Srirampuram SKY Trust,A.NO.219,77.55733623,12.9909285,"No.2, Prakash Nagar Main Road, Prakash Nagar, Bangalore - 560021.",Karnataka,A/N.Arulmozhi Vinayagam,9845084248,9886411849,-,-,
Asia,India,Kerala,Cumbummettu,Kumily SKY Trust,A.NO.221,76.9297354,9.8138076,"C/o.A/N.P.S.Abraham, Secretary,Vadakkekollyil House, Plackyil (H), Cumbummettu P.O., Idukky (Dist), Kerala - 685 551.",Kerala,A/N.D.Suresh Babu,9349762696,9447824740,-,"skykumalytrust@gmail.com, ",hshanishlal@gmail.com
Asia,India,Kerala,Cherthala,Poornnam SKY Trust,A.NO.224,76.3388484,9.4980667,"A/N.K.G.R.Panicker, C/o, 4/41, Parklane Road, Cherthala North Village, Cherthala, Alleppey District, Kerala - 688524.",Kerala,A/N.K.G.R.Panicker,9447052303,-,-,kgrpanicker@gmail.com,
Asia,India,Puducherry,Puducherry,Pondicherry Lawspet MVKM Trust,A.NO.253,79.81297123,11.95599482,"No.42, Main Road, Kamaraj Nagar, Samipillaithottam Lawspet,  Pondicherry - 605008",Puducherry,A/N.S.Murugaiyan,9443442187,9442066551,,yogapondicherry@gmail.com,
Asia,India,Kerala,Kozhikode,"Calicut SKY Trust,",A.NO.281,75.73558457,11.54258101,"C/o.A/N.K.Ramachandran, MIC, “Padmasree”, Eravattor (P.O), Perambra (Via), Calicut (Dt), Kerala - 673525.",Kerala,A/N.Dr.T.N.Vijaya Kumar,9496285070,"9447423220 (M.T), 9349100905 (S)","0496-2610070, 0496-2668500","ramachandrankskyyoga@gmail.com,", tnvsreesailam@gmail.com
Asia,India,Karnataka,Bengaluru,"Bangalore Vimanapura SKY Trust,",A.NO.295,77.6775261,12.9748321,"582/1A, 6th Cross, 1st Main Road,, L.B.Shastri Nagar, Vimanapuram PO, Bangalore - 560017.",Karnataka,A/N.P.I.Dhanaraj,9740980990,-,-,-,
Asia,India,Karnataka,Bengaluru,Bangalore Panchasheela Nagara SKY Trust,A.NO.307,77.52056941,12.97439903,"No.302, 7th Cross 1 st Stage, Panchasheela Nagara, Moodalapalya, Bangalore-560072",Karnataka,A/N.P.Dhanapathi,9448471694,-,-,-,
Asia,India,West Bengal,Kolkata,Kolkata SKY Trust,A.NO.314,88.284102,22.480823,"E - 18/1, Sarsuna Housing, Phase - I, Ketapole, Kolkata - 700061.",Kolkata,Mrs.srimathy,8240455862,9433399904,8691400192,srimathy.mani@gmail.com,smtsky2008@gmail.com
Asia,India,Andhra Pradesh,Kovvur,Gowthami Yoga Sravanthi SKY Trust,A.NO.329,81.7333,17.0167,"No.13-11-14/4, Bapuji Nagar, Lawyers Colony, Kovvur - 534 350, West Godavari Dt, Andhra.",Andhra Pradesh,A/N. D.V. Sitarama raju,9985231058,9248463717,9440583088,marripudikamesh199@@gmail.com,
Asia,India,Karnataka,Mysuru,Mysore Brindavan SKY Trust,A.NO.344,76.63513715,12.30181617,"#241, Kantharaj Urs Road, Treasury Layout, Kergalli, Mysore - 570026.",Karnataka,A/N.N.Devaraj,9449621430,8212415007,-,-,
Asia,India,Karnataka,Bengaluru,"Bangalore Machohally SKY Trust,",A.NO.376,77.4542804,12.9907903,"No.4, Machohally Vishwaneedam, Mangadi Main Road, Bangalore 560 091.",Karnataka,A/N.R.Kantharaju,9342751732,-,080-28535719,-,
Asia,India,Haryana,Gurgaon,Gurgaon SKY Trust,A.NO.389,77.0967965,28.4217917,"B 140, GAIL Housing Society, Plot No.GH-9, Sector 56, Gurugram - 122011, Haryana",Delhi,A/N.S.Malathy,9971392649,0-9971122896,0-9871888230,malathy.vetha@gmail.com,ilango.vetha@gmail.com
Asia,India,Andhra Pradesh,Guntur,Guntur R.Agraharam SKY Trust,A.NO.392,80.4389107,16.2905215,"D.No.24-5-17, R.Agraharam, Guntur 522 008, Andhra Pradesh.",Andhra Pradesh,"A/N.Chekka Bramaramba, W/o.A/N.Chekka Venkata Chennaiah",9505549653,9343793549,-,akoteswari@yahoo.com,
Asia,India,Andhra Pradesh,Vijayawada,Vijayawada Vagu Veeranjaneya SKY Trust,A.NO.398,80.64810899,16.5061743,"Plot No.55, Syndicate Bank Colony, KL Rao Park Road, Chitti Nagar,Kothapet, Vijayawada - 520009",Andhra Pradesh,A/N.P.Vanaja Murthy,7396543422,"0-9849319273,",0866 - 2568803,abrahampjcst@gmail.com,vanajarajkumari@gmail.com;
Asia,India,Andhra Pradesh,Eluru ,Eluru Gowri Sankar SKY Trust,A.NO.399,81.1083148,16.7138185,"No.20B-4-90, Narni Veeresalingam Streeet, Kothapeta - Powerpeta, Gandhi Nagar, Eluru 534 002.",Andhra Pradesh,A/N.Nemala Gowri Sankar,9848135262,-,-,an.a399@vethathiri.edu.in,
Asia,India,Karnataka,Bengaluru,Channapatna SKY Trust,A.NO.414,77.4759713,12.9870326,"No.5, Anushree Ashra, Vele-Kodigehalli Village & Post, Bangalore 560091",Karnataka,A/N.G.Kuppan,9342020456,9036862235,-,-,
Asia,India,Andhra Pradesh,Tirupati,Tirupati Subba Reddy Nagar SKY Trust,A.NO.417,79.4191795,13.6287557,"7-4/B, Subba Reddy Nagar, Akkaram Pathi Road, Tirupathi 517 501 ",Andhra Pradesh,A/N.G.Mohan Reddy,9966008643,-,-,ramachandrankskyyoga@gmail.com,an.a417@vethathiri.edu.in
Asia,India,Andhra Pradesh,Tirupati,Tirupati Peddakapu Layout SKY Trust,A.NO.438,79.41927193,13.6287557,"D.No.13-6-600/44(8), Peddakapu Layout, Tirupati, Chittoor Dist, Andhra Pradesh 517 507.",Andhra Pradesh,A/N.P.Munirathnam Reddy,6304756329,7981302620,-,ramachandrankskyyoga@gmail.com,
Asia,India,Kerala,Alappuzha,Alappuzha SKY Trust,A.NO.442,76.31967792,9.653514509,"“ARATTU VAZHI”, OPPOSITE TO SANJOSE HOSPITAL, ALAPPUZHA NORTH",Kerala,A/N.K.V.Haridas,9497109353,9895010181,-,skytrustalpy@gmail.com,dominicarsky@gmail.com
